variable,value
ISNIAssigned,45813
ISNINotAssigned,14751
assignedConfidence,45911
multipleAssociatedCountries,39944
multipleGenders,39945
multipleNationalities,39944
organisation,20610
person-associated-BE,58054
person-associated-DE,11969
person-associated-FR,30313
person-associated-NL,14407
person-associated-US,6855
person-gender-female,7883
person-gender-male,29575
person-gender-unknown,227
person-nationality-BE,47775
person-nationality-DE,1331
person-nationality-FR,2171
person-nationality-NL,2265
person-nationality-be,4932
person-nationality-belgië,42
person-nationality-flemish,1
person-nationality-fr,162
personOrFiction,39954
responseRecord,60564
unformattedISNINumbers,45813
