"code","labelFR","labelEN","labelNL"
"a","édition reliée","bound edition","gebonden uitgave"
"b","paperback","paperback","paperback"
"c","brochure","brochure","brochure"
"d","édition de luxe","de luxe edition","luxe-uitgave"
"e","édition commerciale","commercial edition","handelsuitgave"
"f","tirage limité","limited edition","beperkte oplage"
"g","édition complète","complete edition","volledige uitgave"
"h","édition abrégée","abridged edition","verkorte uitgave"
"i","édition en feuillets mobiles","loose-leaf edition","losbladige uitgave"
"j","édition imprimée","printed edition","gedrukte uitgave"
"k","édition microforme","microform edition","micro-uitgave"
"l","dépliant","leaflet","folder"
"m","édition spiralée","spiral bound edition","spiraalband uitgave"
"n","édition numérique","digital edition","digitale uitgave"
"o","édition hors commerce","not for sale edition","buiten de handel uitgave"
"p","pdf","pdf","pdf"
"q","epub","epub","epub"
"r","mobi","mobi","mobi"
