Niveau_0;Niveau_1;Niveau_2;Niveau_3;Niveau_4;Niveau_5;Niveau_6;Niveau_7;Niveau_8;Niveau_9;"Identifiant";"Type";"Microthésaurus";"Statut";"Définition";"Note d'application";"Synonymes";"Relatifs";"Fiches associées";"NAME";"DESCRIPTION";
"000   General notions, history and comparative history of science and culture.";;;;;;;;;;"LEXICON_00000007";"MT";"";"Standard";"";"";"";"";"-1";"";"";
;"010 Library, library sciences.";;;;;;;;;"LEXICON_00000016";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"020 Archival sciences, archives.";;;;;;;;;"LEXICON_00000017";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"030 Bibliographies, general encyclopedia.";;;;;;;;;"LEXICON_00000018";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"040 Bibliophilia.";;;;;;;;;"LEXICON_00000019";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"050 Auction catalogues of booksellers and antiquaries.";;;;;;;;;"LEXICON_00000020";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"060 Editions. Publishers' catalogues.";;;;;;;;;"LEXICON_00000021";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"070 Information sciences. Media";;;;;;;;;"LEXICON_00000022";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"080 Print and broadcast press.";;;;;;;;;"LEXICON_00000024";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"090 Media and social networks.";;;;;;;;;"LEXICON_00000025";"NT";"";"Standard";"";"";"";"";"-1";"";"";
"100  General notions, history and comparative history of philosophy and ethics.";;;;;;;;;;"LEXICON_00000008";"MT";"";"Standard";"";"";"";"";"-1";"";"";
;"110 Philosophy. Philosophical systems.";;;;;;;;;"LEXICON_00000026";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"120 Metaphysics.";;;;;;;;;"LEXICON_00000027";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"130 Theory of knowledge. Logic. Epistemology (philosophy of sciences, history of sciences).";;;;;;;;;"LEXICON_00000028";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"140 Moral philosophy. Ethics.";;;;;;;;;"LEXICON_00000029";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"150 Psychology, psychoanalysis.";;;;;;;;;"LEXICON_00000030";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"160 Esotericism. Occult sciences. Paranormal phenomena.";;;;;;;;;"LEXICON_00000031";"NT";"";"Standard";"";"";"";"";"-1";"";"";
"200  Theology. Religions.";;;;;;;;;;"LEXICON_00000003";"MT";"";"Standard";"";"";"";"";"-1";"";"";
;"210 Science and comparative history of religions (general and comparative works, spirituality, mysticism, sects (except if the book refers to criminal law)).";;;;;;;;;"LEXICON_00000006";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"220 Monotheisms (judaism, islamism, christianism, and related sects).";;;;;;;;;"LEXICON_00000033";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"230 Buddhism, hinduism, jainism, and related sects.";;;;;;;;;"LEXICON_00000034";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"240 Other religions (ancient, animism, shamanism, of Antiquity…)";;;;;;;;;"LEXICON_00000035";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"250 Mythologies.";;;;;;;;;"LEXICON_00000036";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"260 Secret societies.";;;;;;;;;"LEXICON_00000037";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"270 Modern spiritual movements.";;;;;;;;;"LEXICON_00000038";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"280 Secularism.";;;;;;;;;"LEXICON_00000039";"NT";"";"Standard";"";"";"";"";"-1";"";"";
"300  Social sciences. General sociology.";;;;;;;;;;"LEXICON_00000009";"MT";"";"Standard";"";"";"";"";"-1";"";"";
;"310 Public administration. Government. Police. Army.";;;;;;;;;"LEXICON_00000040";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"320 Statistics.";;;;;;;;;"LEXICON_00000041";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"330 Politics. Political science.";;;;;;;;;"LEXICON_00000042";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"340 Law. Case law. Legislation. (in Belgium)";;;;;;;;;"LEXICON_00000043";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"350 European law, international.";;;;;;;;;"LEXICON_00000044";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"360 Provision and social assistance. Insurances. Works. Philantropy.";;;;;;;;;"LEXICON_00000045";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"370 Education. Teaching. Courses (course books included)";;;;;;;;;"LEXICON_00000046";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"380 Management. Coaching.";;;;;;;;;"LEXICON_00000047";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"390 Ethnography, ethnology, folklore, costume, traditions. Ways of life.";;;;;;;;;"LEXICON_00000048";"NT";"";"Standard";"";"";"";"";"-1";"";"";
"400  Economy. Economic sciences.";;;;;;;;;;"LEXICON_00000010";"MT";"";"Standard";"";"";"";"";"-1";"";"";
;"410 Political and social economics. Employment.";;;;;;;;;"LEXICON_00000049";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"420 Trade. Transport. Communication. (economic perspective)";;;;;;;;;"LEXICON_00000050";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"430 Finances. Accounting.";;;;;;;;;"LEXICON_00000051";"NT";"";"Standard";"";"";"";"";"-1";"";"";
"500  Exact and natural sciences. Generalities.";;;;;;;;;;"LEXICON_00000011";"MT";"";"Standard";"";"";"";"";"-1";"";"";
;"501 Environmental sciences. Protection of the environment. Ecology.";;;;;;;;;"LEXICON_00000053";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"510 Mathematics.";;;;;;;;;"LEXICON_00000054";"NT";"";"Standard";"";"";"";"";"-1";"";"";
