Niveau_0;Niveau_1;Niveau_2;Niveau_3;Niveau_4;Niveau_5;Niveau_6;Niveau_7;Niveau_8;Niveau_9;"Identifiant";"Type";"Microthésaurus";"Statut";"Définition";"Note d'application";"Synonymes";"Relatifs";"Fiches associées";"NAME";"DESCRIPTION";
"000   Notions générales, histoire et histoire comparée de la science et de la culture. ";;;;;;;;;;"LEXICON_00000007";"MT";"";"Standard";"";"";"";"";"-1";"";"";
;"010 Bibliothèque, bibliothéconomie.";;;;;;;;;"LEXICON_00000016";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"020 Archivistique, archives";;;;;;;;;"LEXICON_00000017";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"030 Bibliographies, encyclopédies générales.";;;;;;;;;"LEXICON_00000018";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"040 Bibliophilie. ";;;;;;;;;"LEXICON_00000019";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"050 Catalogues de ventes de libraires et d’antiquaires.";;;;;;;;;"LEXICON_00000020";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"060 Editions. Catalogues d’éditeurs.";;;;;;;;;"LEXICON_00000021";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"070 Sciences de l’information. Médias";;;;;;;;;"LEXICON_00000022";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"080 Presse écrite et parlée. ";;;;;;;;;"LEXICON_00000024";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"090 Média et réseaux sociaux.";;;;;;;;;"LEXICON_00000025";"NT";"";"Standard";"";"";"";"";"-1";"";"";
"100  Notions générales, histoire et histoire comparée de la philosophie et de la morale.";;;;;;;;;;"LEXICON_00000008";"MT";"";"Standard";"";"";"";"";"-1";"";"";
;"110 Philosophie. Systèmes philosophiques.";;;;;;;;;"LEXICON_00000026";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"120 Métaphysique.";;;;;;;;;"LEXICON_00000027";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"130 Théorie de la connaissance. Logique. Epistémologie (philosophie des sciences,  histoire des  sciences).";;;;;;;;;"LEXICON_00000028";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"140 Philosophie morale. Ethique.";;;;;;;;;"LEXICON_00000029";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"150 Psychologie, psychanalyse.";;;;;;;;;"LEXICON_00000030";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"160 Esotérisme. Sciences occultes. Phénomènes paranormaux.";;;;;;;;;"LEXICON_00000031";"NT";"";"Standard";"";"";"";"";"-1";"";"";
"200   Théologie. Religions.";;;;;;;;;;"LEXICON_00000003";"MT";"";"Standard";"";"";"";"";"-1";"";"";
;"210 Science et histoire comparée des religions (ouvrages généraux, comparatifs, spiritualité, mysticisme, sectes (sauf  si le livre se réfère au droit pénal).";;;;;;;;;"LEXICON_00000006";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"220 Monothéismes (judaïsme, islam, christianisme, et sectes apparentées).";;;;;;;;;"LEXICON_00000033";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"230 Bouddhisme, hindouisme, jaïnisme, et sectes apparentées.";;;;;;;;;"LEXICON_00000034";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"240 Autres religions (anciennes, animisme, chamanisme, de l’Antiquité…)";;;;;;;;;"LEXICON_00000035";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"250 Mythologies.";;;;;;;;;"LEXICON_00000036";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"260 Sociétés secrètes.";;;;;;;;;"LEXICON_00000037";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"270 Mouvements spirituels modernes.";;;;;;;;;"LEXICON_00000038";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"280 Laïcité.";;;;;;;;;"LEXICON_00000039";"NT";"";"Standard";"";"";"";"";"-1";"";"";
"300   Sciences sociales. Sociologie générale.";;;;;;;;;;"LEXICON_00000009";"MT";"";"Standard";"";"";"";"";"-1";"";"";
;"310 Administration publique. Gouvernement. Police. Armée.";;;;;;;;;"LEXICON_00000040";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"320 Statistiques.";;;;;;;;;"LEXICON_00000041";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"330 Politique. Science politique. ";;;;;;;;;"LEXICON_00000042";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"340 Droit. Jurisprudence. Législation. (en Belgique)";;;;;;;;;"LEXICON_00000043";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"350 Droit européen, international.";;;;;;;;;"LEXICON_00000044";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"360 Prévoyance et assistance sociale. Assurances. Œuvres. Philanthropie.";;;;;;;;;"LEXICON_00000045";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"370 Éducation. Enseignement. Formations (y compris les manuels scolaires)";;;;;;;;;"LEXICON_00000046";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"380 Management. Coaching.";;;;;;;;;"LEXICON_00000047";"NT";"";"Standard";"";"";"";"";"-1";"";"";
