Niveau_0;Niveau_1;Niveau_2;Niveau_3;Niveau_4;Niveau_5;Niveau_6;Niveau_7;Niveau_8;Niveau_9;"Identifiant";"Type";"Microthésaurus";"Statut";"Définition";"Note d'application";"Synonymes";"Relatifs";"Fiches associées";"NAME";"DESCRIPTION";
"000 Algemene begrippen, geschiedenis en vergelijkende geschiedenis van wetenschap en cultuur.";;;;;;;;;;"LEXICON_00000007";"MT";"";"Standard";"";"";"";"";"-1";"";"";
;"010 Bibliotheek, bibliotheekwetenschappen.";;;;;;;;;"LEXICON_00000016";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"020 Archiefkunde, archieven.";;;;;;;;;"LEXICON_00000017";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"030 Bibliografieën, algemene encyclopedieën.";;;;;;;;;"LEXICON_00000018";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"040 Bibliofilie.";;;;;;;;;"LEXICON_00000019";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"050 Veilingcatalogi van boekhandelaars en antiquairs.";;;;;;;;;"LEXICON_00000020";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"060 Edities. Uitgeverscatalogi.";;;;;;;;;"LEXICON_00000021";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"070 Informatiewetenschappen. Media";;;;;;;;;"LEXICON_00000022";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"080 Geschreven en gesproken pers.";;;;;;;;;"LEXICON_00000024";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"090 Media en sociale netwerken";;;;;;;;;"LEXICON_00000025";"NT";"";"Standard";"";"";"";"";"-1";"";"";
"100 Algemene begrippen, geschiedenis en vergelijkende geschiedenis van de filosofie en de moraal.";;;;;;;;;;"LEXICON_00000008";"MT";"";"Standard";"";"";"";"";"-1";"";"";
;"110 Filosofie. Filosofische systemen.";;;;;;;;;"LEXICON_00000026";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"120 Metafysica.";;;;;;;;;"LEXICON_00000027";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"130 Theorie van de kennis. Logica. Epistemologie (filosofie van de wetenschappen, geschiedenis van de wetenschappen).";;;;;;;;;"LEXICON_00000028";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"140 Moraalfilosofie. Ethiek.";;;;;;;;;"LEXICON_00000029";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"150 Psychologie, psychoanalyse.";;;;;;;;;"LEXICON_00000030";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"160 Esoterisme. Occulte wetenschappen. Paranormale verschijnselen.";;;;;;;;;"LEXICON_00000031";"NT";"";"Standard";"";"";"";"";"-1";"";"";
"200 Theologie. Religies.";;;;;;;;;;"LEXICON_00000003";"MT";"";"Standard";"";"";"";"";"-1";"";"";
;"210 Wetenschap en vergelijkende geschiedenis van de religies (algemene, vergelijkende werken, spiritualiteit, mysticisme, sekten) (tenzij het boek verwijst naar het strafrecht).";;;;;;;;;"LEXICON_00000006";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"220 Monotheïsmen (jodendom, islam, christendom en aanverwante sekten).";;;;;;;;;"LEXICON_00000033";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"230 Boeddhisme, hindoeïsme, jaïnisme en aanverwante sekten.";;;;;;;;;"LEXICON_00000034";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"240 Andere religies (oude, animisme, sjamanisme, van de oudheid …)";;;;;;;;;"LEXICON_00000035";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"250 Mythologieën.";;;;;;;;;"LEXICON_00000036";"NT";"";"Standard";"";"";"";"";"-1";"";"";
